0,Date,Fajr,Fajr Iqamah,Sunrise,Dhuhr,Dhuhr Iqamah,Asr,Asr Iqamah,Maghrib,Maghrib Iqamah,Isha,Isha Iqamah,Jumma1 Adhan,Jumma1 Salat,Jumma2 Adhan,Jumma2 Salat
1,1/1/2014,7:34,8:00,9:15,1:15,1:30,3:18,3:30,5:10,5:10,6:45,8:00,1:00,1:40,2:15,2:40
2,2/1/2014,7:34,8:00,9:15,1:16,1:30,3:19,3:30,5:11,5:11,6:46,8:00,1:00,1:40,2:15,2:40
3,3/1/2014,7:34,8:00,9:15,1:16,1:30,3:20,3:30,5:13,5:13,6:47,8:00,1:00,1:40,2:15,2:40
4,4/1/2014,7:34,8:00,9:15,1:16,1:30,3:21,3:30,5:14,5:14,6:48,8:00,1:00,1:40,2:15,2:40
5,5/1/2014,7:34,8:00,9:14,1:17,1:30,3:22,3:30,5:15,5:15,6:49,8:00,1:00,1:40,2:15,2:40
6,6/1/2014,7:34,8:00,9:14,1:17,1:30,3:23,4:00,5:16,5:16,6:50,8:00,1:00,1:40,2:15,2:40
7,7/1/2014,7:33,8:00,9:14,1:18,1:30,3:25,4:00,5:18,5:18,6:51,8:00,1:00,1:40,2:15,2:40
8,8/1/2014,7:33,8:00,9:13,1:18,1:30,3:26,4:00,5:19,5:19,6:52,8:00,1:00,1:40,2:15,2:40
9,9/1/2014,7:32,8:00,9:12,1:19,1:30,3:27,4:00,5:20,5:20,6:53,8:00,1:00,1:40,2:15,2:40
10,10/1/2014,7:32,8:00,9:12,1:19,1:30,3:29,4:00,5:22,5:22,6:54,8:00,1:00,1:40,2:15,2:40
11,11/1/2014,7:31,8:00,9:11,1:19,1:30,3:30,4:00,5:23,5:23,6:55,8:00,1:00,1:40,2:15,2:40
12,12/1/2014,7:31,8:00,9:11,1:20,1:30,3:31,4:00,5:25,5:25,6:57,8:00,1:00,1:40,2:15,2:40
13,13/1/2014,7:30,7:45,9:10,1:20,1:30,3:33,4:00,5:26,5:26,6:58,8:00,1:00,1:40,2:15,2:40
14,14/1/2014,7:29,7:45,9:09,1:21,1:30,3:34,4:00,5:28,5:28,6:59,8:00,1:00,1:40,2:15,2:40
15,15/1/2014,7:29,7:45,9:08,1:21,1:30,3:36,4:00,5:29,5:29,7:01,8:00,1:00,1:40,2:15,2:40
16,16/1/2014,7:28,7:45,9:07,1:21,1:30,3:37,4:00,5:31,5:31,7:02,8:00,1:00,1:40,2:15,2:40
17,17/1/2014,7:27,7:45,9:06,1:22,1:30,3:39,4:00,5:33,5:33,7:03,8:00,1:00,1:40,2:15,2:40
18,18/1/2014,7:26,7:45,9:05,1:22,1:30,3:40,4:00,5:34,5:34,7:05,8:00,1:00,1:40,2:15,2:40
19,19/1/2014,7:25,7:45,9:04,1:22,1:30,3:42,4:00,5:36,5:36,7:06,8:00,1:00,1:40,2:15,2:40
20,20/1/2014,7:24,7:45,9:03,1:23,1:30,3:44,4:00,5:38,5:38,7:08,8:00,1:00,1:40,2:15,2:40
21,21/1/2014,7:23,7:45,9:02,1:23,1:30,3:45,4:00,5:39,5:39,7:09,8:00,1:00,1:40,2:15,2:40
22,22/1/2014,7:22,7:45,9:01,1:23,1:30,3:47,4:00,5:41,5:41,7:11,8:00,1:00,1:40,2:15,2:40
23,23/1/2014,7:21,7:45,8:59,1:23,1:30,3:48,4:00,5:43,5:43,7:12,8:00,1:00,1:40,2:15,2:40
24,24/1/2014,7:20,7:45,8:58,1:24,1:30,3:50,4:00,5:45,5:45,7:14,8:00,1:00,1:40,2:15,2:40
25,25/1/2014,7:18,7:45,8:57,1:24,1:30,3:52,4:00,5:46,5:46,7:15,8:00,1:00,1:40,2:15,2:40
26,26/1/2014,7:17,7:45,8:56,1:24,1:30,3:53,4:00,5:48,5:48,7:17,8:00,1:00,1:40,2:15,2:40
27,27/1/2014,7:16,7:30,8:54,1:24,1:30,3:55,4:45,5:50,5:50,7:18,8:00,1:00,1:40,2:30,2:55
28,28/1/2014,7:15,7:30,8:53,1:25,1:30,3:57,4:45,5:52,5:52,7:20,8:00,1:00,1:40,2:30,2:55
29,29/1/2014,7:13,7:30,8:51,1:25,1:30,3:59,4:45,5:54,5:54,7:22,8:00,1:00,1:40,2:30,2:55
30,30/1/2014,7:12,7:30,8:50,1:25,1:30,4:00,4:45,5:56,5:56,7:23,8:00,1:00,1:40,2:30,2:55
31,31/1/2014,7:10,7:30,8:48,1:25,1:30,4:02,4:45,5:57,5:57,7:25,8:00,1:00,1:40,2:30,2:55
32,1/2/2014,7:09,7:30,8:47,1:25,1:30,4:04,4:45,5:59,5:59,7:26,8:00,1:00,1:40,2:30,2:55
33,2/2/2014,7:07,7:30,8:45,1:25,1:30,4:06,4:45,6:01,6:01,7:28,8:00,1:00,1:40,2:30,2:55
34,3/2/2014,7:06,7:30,8:43,1:25,1:30,4:07,4:45,6:03,6:03,7:30,8:00,1:00,1:40,2:30,2:55
35,4/2/2014,7:04,7:30,8:42,1:26,1:30,4:09,4:45,6:05,6:05,7:31,8:00,1:00,1:40,2:30,2:55
36,5/2/2014,7:03,7:30,8:40,1:26,1:30,4:11,4:45,6:07,6:07,7:33,8:00,1:00,1:40,2:30,2:55
37,6/2/2014,7:01,7:30,8:38,1:26,1:30,4:13,4:45,6:09,6:09,7:35,8:00,1:00,1:40,2:30,2:55
38,7/2/2014,6:59,7:30,8:37,1:26,1:30,4:14,4:45,6:10,6:10,7:36,8:00,1:00,1:40,2:30,2:55
39,8/2/2014,6:58,7:30,8:35,1:26,1:30,4:16,4:45,6:12,6:12,7:38,8:00,1:00,1:40,2:30,2:55
40,9/2/2014,6:56,7:30,8:33,1:26,1:30,4:18,4:45,6:14,6:14,7:39,8:00,1:00,1:40,2:30,2:55
41,10/2/2014,6:54,7:30,8:31,1:26,1:30,4:20,4:45,6:16,6:16,7:41,8:00,1:00,1:40,2:30,2:55
42,11/2/2014,6:52,7:30,8:29,1:26,1:30,4:21,4:45,6:18,6:18,7:43,8:00,1:00,1:40,2:30,2:55
43,12/2/2014,6:51,7:30,8:27,1:26,1:30,4:23,4:45,6:20,6:20,7:44,8:00,1:00,1:40,2:30,2:55
44,13/2/2014,6:49,7:30,8:25,1:26,1:30,4:25,4:45,6:22,6:22,7:46,8:00,1:00,1:40,2:30,2:55
45,14/2/2014,6:47,7:30,8:24,1:26,1:30,4:27,4:45,6:24,6:24,7:48,8:00,1:00,1:40,2:30,2:55
46,15/2/2014,6:45,7:30,8:22,1:26,1:30,4:28,4:45,6:26,6:26,7:49,8:00,1:00,1:40,2:30,2:55
47,16/2/2014,6:43,7:30,8:20,1:26,1:30,4:30,4:45,6:27,6:27,7:51,8:00,1:00,1:40,2:30,2:55
48,17/2/2014,6:41,7:00,8:18,1:26,1:30,4:32,5:00,6:29,6:29,7:53,8:30,1:00,1:40,2:30,2:55
49,18/2/2014,6:39,7:00,8:16,1:26,1:30,4:33,5:00,6:31,6:31,7:54,8:30,1:00,1:40,2:30,2:55
50,19/2/2014,6:37,7:00,8:14,1:26,1:30,4:35,5:00,6:33,6:33,7:56,8:30,1:00,1:40,2:30,2:55
51,20/2/2014,6:35,7:00,8:11,1:25,1:30,4:37,5:00,6:35,6:35,7:57,8:30,1:00,1:40,2:30,2:55
52,21/2/2014,6:33,7:00,8:09,1:25,1:30,4:39,5:00,6:37,6:37,7:59,8:30,1:00,1:40,2:30,2:55
53,22/2/2014,6:31,7:00,8:07,1:25,1:30,4:40,5:00,6:39,6:39,8:01,8:30,1:00,1:40,2:30,2:55
54,23/2/2014,6:29,7:00,8:05,1:25,1:30,4:42,5:00,6:40,6:40,8:02,8:30,1:00,1:40,2:30,2:55
55,24/2/2014,6:27,7:00,8:03,1:25,1:30,4:44,5:00,6:42,6:42,8:04,8:30,1:00,1:40,2:30,2:55
56,25/2/2014,6:25,7:00,8:01,1:25,1:30,4:45,5:00,6:44,6:44,8:05,8:30,1:00,1:40,2:30,2:55
57,26/2/2014,6:23,7:00,7:59,1:25,1:30,4:47,5:00,6:46,6:46,8:07,8:30,1:00,1:40,2:30,2:55
58,27/2/2014,6:21,7:00,7:57,1:24,1:30,4:48,5:00,6:48,6:48,8:09,8:30,1:00,1:40,2:30,2:55
59,28/2/2014,6:19,7:00,7:54,1:24,1:30,4:50,5:00,6:50,6:50,8:10,8:30,1:00,1:40,2:30,2:55
60,1/3/2014,6:17,7:00,7:52,1:24,1:30,4:52,5:00,6:51,6:51,8:12,8:30,1:00,1:40,2:30,2:55
61,2/3/2014,6:15,7:00,7:50,1:24,1:30,4:53,5:00,6:53,6:53,8:13,8:30,1:00,1:40,2:30,2:55
62,3/3/2014,6:13,6:30,7:48,1:24,1:30,4:55,5:30,6:55,6:55,8:15,8:45,1:00,1:40,2:30,2:55
63,4/3/2014,6:11,6:30,7:46,1:23,1:30,4:56,5:30,6:57,6:57,8:16,8:45,1:00,1:40,2:30,2:55
64,5/3/2014,6:09,6:30,7:43,1:23,1:30,4:58,5:30,6:59,6:59,8:18,8:45,1:00,1:40,2:30,2:55
65,6/3/2014,6:06,6:30,7:41,1:23,1:30,5:00,5:30,7:00,7:00,8:20,8:45,1:00,1:40,2:30,2:55
66,7/3/2014,6:04,6:30,7:39,1:23,1:30,5:01,5:30,7:02,7:02,8:21,8:45,1:00,1:40,2:30,2:55
67,8/3/2014,6:02,6:30,7:37,1:23,1:30,5:03,5:30,7:04,7:04,8:23,8:45,1:00,1:40,2:30,2:55
68,9/3/2014,6:00,6:30,7:34,1:22,1:30,5:04,5:30,7:06,7:06,8:24,8:45,1:00,1:40,2:30,2:55
69,10/3/2014,5:58,6:30,7:32,1:22,1:30,5:06,5:30,7:07,7:07,8:26,8:45,1:00,1:40,2:30,2:55
70,11/3/2014,5:55,6:30,7:30,1:22,1:30,5:07,5:30,7:09,7:09,8:27,8:45,1:00,1:40,2:30,2:55
71,12/3/2014,5:53,6:30,7:27,1:22,1:30,5:09,5:30,7:11,7:11,8:29,8:45,1:00,1:40,2:30,2:55
72,13/3/2014,5:51,6:30,7:25,1:21,1:30,5:10,5:30,7:13,7:13,8:30,8:45,1:00,1:40,2:30,2:55
73,14/3/2014,5:49,6:30,7:23,1:21,1:30,5:12,5:30,7:15,7:15,8:32,8:45,1:00,1:40,2:30,2:55
74,15/3/2014,5:47,6:30,7:21,1:21,1:30,5:13,5:30,7:16,7:16,8:33,8:45,1:00,1:40,2:30,2:55
75,16/3/2014,5:44,6:30,7:18,1:20,1:30,5:14,5:30,7:18,7:18,8:35,8:45,1:00,1:40,2:30,2:55
76,17/3/2014,5:42,6:00,7:16,1:20,1:30,5:16,5:45,7:20,7:20,8:36,9:00,1:00,1:40,2:30,2:55
77,18/3/2014,5:40,6:00,7:14,1:20,1:30,5:17,5:45,7:22,7:22,8:38,9:00,1:00,1:40,2:30,2:55
78,19/3/2014,5:38,6:00,7:11,1:20,1:30,5:19,5:45,7:23,7:23,8:39,9:00,1:00,1:40,2:30,2:55
79,20/3/2014,5:35,6:00,7:09,1:19,1:30,5:20,5:45,7:25,7:25,8:41,9:00,1:00,1:40,2:30,2:55
80,21/3/2014,5:33,6:00,7:07,1:19,1:30,5:21,5:45,7:27,7:27,8:42,9:00,1:00,1:40,2:30,2:55
81,22/3/2014,5:31,6:00,7:04,1:19,1:30,5:23,5:45,7:28,7:28,8:44,9:00,1:00,1:40,2:30,2:55
82,23/3/2014,5:28,6:00,7:02,1:18,1:30,5:24,5:45,7:30,7:30,8:45,9:00,1:00,1:40,2:30,2:55
83,24/3/2014,5:26,6:00,7:00,1:18,1:30,5:26,5:45,7:32,7:32,8:47,9:00,1:00,1:40,2:30,2:55
84,25/3/2014,5:23,6:00,6:57,1:18,1:30,5:27,5:45,7:34,7:34,8:48,9:00,1:00,1:40,2:30,2:55
85,26/3/2014,5:21,6:00,6:55,1:17,1:30,5:28,5:45,7:35,7:35,8:50,9:00,1:00,1:40,2:30,2:55
86,27/3/2014,5:18,6:00,6:53,1:17,1:30,5:30,5:45,7:37,7:37,8:51,9:00,1:00,1:40,2:30,2:55
87,28/3/2014,5:15,6:00,6:50,1:17,1:30,5:31,5:45,7:39,7:39,8:53,9:00,1:00,1:40,2:30,2:55
88,29/3/2014,5:13,6:00,6:48,1:17,1:30,5:32,5:45,7:41,7:41,8:54,9:00,1:00,1:40,2:30,2:55
89,30/3/2014,5:10,6:00,6:46,1:16,1:30,5:34,5:45,7:42,7:42,8:56,9:00,1:00,1:40,2:30,2:55
90,31/3/2014,5:07,5:30,6:43,1:16,1:30,5:35,6:00,7:44,7:44,8:57,9:30,1:00,1:40,2:30,2:55
91,1/4/2014,5:05,5:30,6:41,1:16,1:30,5:36,6:00,7:46,7:46,8:59,9:30,1:00,1:40,2:30,2:55
92,2/4/2014,5:02,5:30,6:39,1:15,1:30,5:37,6:00,7:47,7:47,9:00,9:30,1:00,1:40,2:30,2:55
93,3/4/2014,5:00,5:30,6:36,1:15,1:30,5:39,6:00,7:49,7:49,9:02,9:30,1:00,1:40,2:30,2:55
94,4/4/2014,4:57,5:30,6:34,1:15,1:30,5:40,6:00,7:51,7:51,9:03,9:30,1:00,1:40,2:30,2:55
95,5/4/2014,4:54,5:30,6:32,1:14,1:30,5:41,6:00,7:53,7:53,9:05,9:30,1:00,1:40,2:30,2:55
96,6/4/2014,4:52,5:30,6:30,1:14,1:30,5:42,6:00,7:54,7:54,9:06,9:30,1:00,1:40,2:30,2:55
97,7/4/2014,4:49,5:30,6:27,1:14,1:30,5:44,6:00,7:56,7:56,9:08,9:30,1:00,1:40,2:30,2:55
98,8/4/2014,4:47,5:30,6:25,1:14,1:30,5:45,6:00,7:58,7:58,9:09,9:30,1:00,1:40,2:30,2:55
99,9/4/2014,4:44,5:30,6:23,1:13,1:30,5:46,6:00,8:00,8:00,9:11,9:30,1:00,1:40,2:30,2:55
100,10/4/2014,4:42,5:30,6:21,1:13,1:30,5:47,6:00,8:01,8:01,9:12,9:30,1:00,1:40,2:30,2:55
101,11/4/2014,4:39,5:30,6:18,1:13,1:30,5:48,6:00,8:03,8:03,9:14,9:30,1:00,1:40,2:30,2:55
102,12/4/2014,4:36,5:30,6:16,1:13,1:30,5:50,6:00,8:05,8:05,9:15,9:30,1:00,1:40,2:30,2:55
103,13/4/2014,4:34,5:30,6:14,1:12,1:30,5:51,6:00,8:06,8:06,9:17,9:30,1:00,1:40,2:30,2:55
104,14/4/2014,4:31,4:45,6:12,1:12,1:30,5:52,6:30,8:08,8:08,9:18,9:45,1:00,1:40,2:30,2:55
105,15/4/2014,4:29,4:45,6:09,1:12,1:30,5:53,6:30,8:10,8:10,9:19,9:45,1:00,1:40,2:30,2:55
106,16/4/2014,4:26,4:45,6:07,1:12,1:30,5:54,6:30,8:12,8:12,9:21,9:45,1:00,1:40,2:30,2:55
107,17/4/2014,4:24,4:45,6:05,1:11,1:30,5:55,6:30,8:13,8:13,9:22,9:45,1:00,1:40,2:30,2:55
108,18/4/2014,4:22,4:45,6:03,1:11,1:30,5:57,6:30,8:15,8:15,9:24,9:45,1:00,1:40,2:30,2:55
109,19/4/2014,4:19,4:45,6:01,1:11,1:30,5:58,6:30,8:17,8:17,9:25,9:45,1:00,1:40,2:30,2:55
110,20/4/2014,4:17,4:45,5:59,1:11,1:30,5:59,6:30,8:18,8:18,9:27,9:45,1:00,1:40,2:30,2:55
111,21/4/2014,4:14,4:45,5:56,1:10,1:30,6:00,6:30,8:20,8:20,9:28,9:45,1:00,1:40,2:30,2:55
112,22/4/2014,4:12,4:45,5:54,1:10,1:30,6:01,6:30,8:22,8:22,9:30,9:45,1:00,1:40,2:30,2:55
